1000000 100000
1 279616 874128345
1 474877 592456234
1 629765 -111331896
1 464466 -795110522
1 851767 209576024
1 836837 -478772531
1 167674 4302030
2 799203 868041
2 412335 931392
1 924378 -697335638
1 133197 -241002497
1 358956 -744037817
2 340217 913455
2 5338 311534
1 857328 -567591137
2 769869 987061
1 772105 -951467754
1 299819 703950397
1 735788 -448864543
2 850960 930426
1 266956 410455266
1 117300 -595207425
2 99717 415621
1 906175 -631692432
2 201524 417591
1 607091 350953313
1 984177 -345240426
1 938256 -912702505
1 317975 -659884776
1 994316 585470856
1 578234 814080133
1 198237 -960072423
2 2480 769031
1 274643 481250836
1 777352 614164765
2 444805 707862
1 794033 -180041900
1 912985 -997227196
1 706852 -847010161
1 404857 84379501
1 819796 407635173
2 121853 262283
1 800836 -103691761
1 390052 813622154
1 959406 161989794
1 19134 9905516
1 626856 -162848339
1 650538 322825199
1 504652 180066678
1 115134 -318395843
1 266511 240992658
1 763672 562646350
1 403567 995179853
1 677316 -319948558
1 102558 -452407890
1 960845 -344198492
1 835854 690653670
2 38271 838524
2 13915 128506
2 172768 868605
2 114695 891609
1 342921 -580412611
2 477789 712746
2 129037 518315
1 438153 -770194827
1 803556 -695252726
1 8831 -988210453
2 485729 626707
1 141765 -538550326
1 983231 526006313
1 848489 -122551388
1 127229 -653434838
1 494401 316871939
2 156049 971520
2 4003 181987
1 34372 716328081
2 28289 367850
1 552414 168851779
1 592335 -593005396
1 27367 -142923111
2 230257 764220
1 877350 -262559731
2 213439 698048
1 528402 -64150341
1 523619 -328793276
1 674011 -881173530
1 379347 -851277739
1 700806 259535426
1 221670 -356061160
1 139334 326413088
2 26024 44811
2 194160 714992
1 556378 944660896
1 864830 -925197652
1 602252 236155736
2 222955 672196
1 31974 735683606
1 574647 -405064278
1 159765 504023311
2 427569 456007
1 983029 245998052
1 789235 -802853313
2 442780 804571
2 137491 693779
1 704063 763037958
1 48840 841225036
1 275912 872361106
1 195983 498542960
2 268481 603748
1 783400 -249096962
1 663949 127690631
1 284282 599140430
1 885390 -912783648
2 348832 401454
2 104485 317150
1 785612 -450898248
2 433798 524423
1 187655 -879128510
1 209559 -796344340
1 116867 -332502090
1 436618 186345110
1 159842 43416190
2 56981 745215
1 116602 719609675
1 688148 -191214715
1 857507 895784725
1 784819 433468901
1 307071 463739678
1 262315 -701934604
2 267466 717298
1 139329 -359613116
1 97305 -365273398
1 414339 -528611380
1 460493 -841278688
1 531334 -962125009
1 856967 -138991236
2 284909 724151
1 577817 126104108
2 576878 840325
1 256996 157464430
1 736686 192548627
1 551594 385597601
1 380345 446526134
1 449489 240500957
2 470993 761076
1 325052 -206711668
1 565114 -141234772
1 886577 976510787
2 430123 767911
2 186550 555902
1 177805 -813324875
1 687942 -948436322
1 424721 50141633
1 683177 701001002
1 166839 -160403646
1 957427 -863614738
1 695669 -965925473
2 32768 169905
1 140580 504124477
1 285941 267808602
1 544661 811988983
1 888971 -989198419
2 87605 421215
1 198117 603764746
1 536250 747771577
1 7292 163783576
1 630301 831547762
1 432565 862778556
2 489949 974674
1 930687 -119209229
1 340295 569759315
2 317085 644782
2 66011 322076
1 377925 670655221
1 356655 890082520
2 814164 983426
1 347464 791847162
2 163901 736727
1 785958 630241088
1 55864 -269571756
1 520277 -743778842
1 996224 -853947190
1 370531 425080286
1 79640 665495482
1 477423 565271781
1 711639 -910142870
1 301180 -878865412
1 847148 -214416656
1 146205 -793559252
2 26345 813713
1 369114 -490575288
1 273558 -452627842
1 232984 971748634
1 438451 339155763
2 7564 240659
1 58202 371113993
1 198535 181134865
1 534936 -384414119
